transcript,label
ආයුබෝවන් ම රේණුකා මට පුළුවනි ඔබට සහය වන්න් ඔව් මගේ මිස් පොඩ්ඩක් බලනවද අවු්ස් ටෑන්ඩින් කොච්චරද කියලා බෑ ම චෙක් කරලා බලා කියන්න මැඩම් එන්ටර් කරපු නම්බර් එකට අදාළවද කනෙක්ෂන් එක යූස් කරන්නේ බිනදුවයකයි යි ි කියන නම්බර් එකද ඔව් ඔව් ඒක වැඩද කියලා පොඩ්ඩක් බලන්නකෝ ඇක්ටිව්ද මට මැඩම් කනෙක්ෂන් එකට දාළව අයිතිකරුගේ නම දැනගන්න පුළුවන්දඩී ඔලවියා හරි තරුණා කරලා ඇමතුමේ රැඳී ඉන්න ම ඩීටේල් එක චෙක් රලා බලා කියන්නම් කරුණාකරලා ඇමතුමේ රැඳී ඉන්න මැඩම හරි ඔව් රැඳී සිටියා ස්තූතියි මැඩම් දැනට කනෙක්ෂන් එක බිල්පත් නිසා ඩිස්කනෙක්ට් වෙලා තියෙන්නේ ඔ දැනට ඔ් නොවැම්බර් කාළ ව් සරි නොවැම්බර් දක්වා රුපියල් ක මුදලක් තියෙනවා බිල්පත් අපි ඊමේල් එක හා සෙන් කරන්නේ ඩෙසැම්බර් තමයි ඩීයුඩේට් එක තිබිලා තියෙනව නොවැම්බර් බිලටත් පේමන්ට් එක කළොත් කනෙක්ෂන් ස් ටික ඔටෝමටිකල ටික වෙලාවකෙන් ඇක්ටිව් වෙනවා ව දැන් ම පේමන්ට් එක් කරලා තියෙනවා ඒක අප්ඩේට් වෙලා නැද්ද බලන්න ඔ මැඩම් පේමන්ට් එක් කරලා තියෙන්නේ ඩෙසැම්බර් ට ක් ඊට පස්සේ පේමන්ට් එක් වරාද ඔව් අද කරළා තම නම් අප්ඩේට් වෙලා නැහැ පේ කරපු නවුන්ට් එක කීයද කියලා දැනගන්න පුළුවන්ද මැඩම් මට ඩීටේල්ස් ටික දෙන්න පුළුවන්ද ඔන්ලයින්ද කොහොමද පේමන්ට් එක කරේ ඔන්ලයින් ඔන්ලයින්ක බැංක් එකවුන්ටර් එකෙන් මැඩම්ගේ මවුන්ට් එක ඩිඩක් වුනාද ඔව් ඔව් රෙෆරන් නම ටෙක් කරලා ට්රාන්සක්ෂන් රෙෆරන්ස් නම්බර් එකත් මැඩම් ලබා ගත්තාද ඔව් ඔව් බැංක් එකවුන්ට් එක න එක හරි ම එම්නම් කම්ප්ලේන් එක් දාන්න මට පේ කරපු වෙලාව කියන්න දැම් පොඩ්ඩක් ඉන්න පෝ එකෝ ක කරන් ේ බැ නේඔ් ඩ්ේ නෑහ ෝර වැඩ කොව සී ලංකයි අර මේ ඔව් හයි ය ඔව් ඔයූස් කරපු බැංක් එක මොක්ද මැඩම් ඒ්ටීවී නේෂන්ට් ්ස් බැන් නේෂන් ට්රස්ට් බැංක් එක නේද ඔව් නේද වෙලාව මැඩම් ඔව් ඔ් හරි මට ට්රාන්සෙක්ෂන් රෙෆරන්ස් නම්බර් එක දෙන්න පුළුවන්ද මැඩම් හලෝ මැඩම් ලයින් එකේද එඉන්නේ ඔව් ඔව් පොඩ්ඩක් ඉන් හරි ඔව් බොඩ්ලවන් ඔක කෝම ඩීටේල් කන්නේ ඕක පොඩ්ඩක් බලන්න විදියන් නැද අප්ඩේට් වෙලා නැහැ මැඩම් එතකොට අපි කරන්නේ බිල් කම්ප්ලේන් එක් දාළා කනෙක්ෂන් එක ඇක්ටිව් කරන එක බිලින් පැත්තෙන්ට් තමයි ස ට අප්ඩ් එක් කර නේද ම ඇක්ටිව් කරන්නම් කම්ප්ලේන් එක දාලා ටික වෙලාවකෙන් ම්ප්ලිට් පේයි මැඩම් මට ට්රාන්සක්ෂන් නම්බර් එක දෙන්න පුළුවන්ද ට්රාන්ස්ක්ෂන් නම්බර් එකනේ එස එස් යි අයි වයි යි ඔව් කතා කරන අයිතිකරු මද කතා කරන්නේ මැඩම් ඔව් ඔව් කනේටක්ට් මොබයිල් නම්බර් එක මැඩම් මට කෝල් කරන නම්බර් එකද ඔව් ඔව් ම බිල් කම්ප්ලේන් එක් යොමු කරා ම යොමු කරපු කම්ප්ලේන් එකට අදාළ රෙෆරන්ස් නම්බර් එක ම මැඩම් මට කෝල් කරන මොබයිල් නම්බර් එකට එස්එම් එස් ඇලක්ට් එක් සෙන් කරන්නම් කනෙක්ෂන් එකත් ඇක්ටිව් කරා් ඇ්ටවල ටි ක වෙලාවකින් චෙක් කරලා බලන්න ව් වරිම හරි මැඩම් එස් එල්ටී මොබිටෙල් ඇමතුවට සරි මේඔ හරි මැඩම් වෙනත් තමයි දැන ගැනීමට අවශ්යද මා ලබා දුන් සේවය ඇගයමස් සඳහ රැඳී සිටින්න එස් එල්ටී මොබිටල් ඇමතුවට ස්තූතියි සභ දවස්,Bill Inquiries
ආයුබෝවන් ම හරිෂි මට පුළුවනි ඔබට සහාය වන්න බෝවන්ස මගේ ටෙලිකොම් එක ම කියන්නේ ඩිස්කනෙක්ට් වෙලා තියෙනවා ම දැන් පේමන්ට් එක් කරා ඔන්ලයින් හැබැයි තාම අර පියර් ටීව් එක එනුත් පෙන්න්නේ මේ මේවා කරලා කියලා පොඩ්ඩක් බලන්න පුළුවන්ද කනෙක්ෂන් එකට අදාලා නම්බර් එක කියන්න මට න් යී ඔව් යින් කරුණාකරලා ඇමතු මේ රැඳී ඉන්න ඕකේ රැඳී සිටියාට ස්තූතියි මැඩම් මැඩම්ගේ මේ ලයින් එක දැනට ඩිස්කනෙක්ට් වෙලානේ තියෙන්නේ ි සට ක් තියෙනවා ගවන්න වෙලා නැ්ද ඔව් ක් අද ගෙවලා තියෙනවා මැඩම් ඒත් ඒ මුදල් නම් ප්රමාණවත් මගි මාස දෙක බිල් එක් තිබ්බේ ක් නේ එතකොට සම්පූර්ණ බිල් එක දැනට පේමන්ට් එක වෙන්න ඕනේ කනෙක්ෂන් ඇක්ටිව් වෙන්න පෙන්න නම් මැඩම් එගේ වෙන තව කොච්චර ගෙවන්න ඕනද තව පේමන්ට් එක ගෙවන්න ව තියෙන්නේ ක් නේ ඒ ක් ගෙව්වොත් ඇක්ටිව් කරගන්න පුළුවන් ගෙවලා ඊට පස්සේ මොනවද කරන්න ඕනේ කතා කරන්න ඕනේ නෑ මැඩම් ලයින් එකට මැඩිකල ඇක්ටිව් වේවි මිනිත්ු සඑක වගේ කාලයකෙන් ඒ කාලේ අතරතුළ චෙක් කරලා බලා පිට ඇමතුමක් ගන්න ආ හරි ඕකේ ආයේ කලින් විදිහා දම පේ කරා නම් හරි නේද ඔව් කලින් විදිහට පේමන්ට් එක ගෙවන්න ක් ඔව් ක් ගෙවන්න ඕකේ ඕකේ තැන්ක් යූ හරි වෙනත් යම් දැනගන්න අවශ්යද,Bill Inquiries
දාන් යිදිට නම්න ආයුබෝවන් ම පියෝමි මට පුළුවනි බය වන්න ආයුබෝවන් මේ මට මේ ගෙදර ෆෝන් එකේ බිල් එක දැනගන්න පුළුවන් යද දන මට මේ ඔටෝ දැන දැනගන්නේ තැනක් නම්බුන් නෑැ හරි ම විස්තර බලා කියන්නම් යි ය අංකය ඔව් ඔව් ඒක තමයි නම කියන්න අයිතිකරුගේ ආයි එම් කේ බණය කරුණාකර ඇතුමේ රැී සිටින්න හරි ිය සිටියාට ස්තූතියි සර් හෙලෝ රුපියල් ක් ගෙවන්න තියෙනවා සර් ආ මේක ම ් ගෙව්වා ඊට අමතවද තියෙන්නේ ඒක ඔව් අප්ඩේට් වෙලා ඊට අමතරව ක් තව ගෙවන්න තියෙනවා ආ හරි මේකේ ම ලයින් එක ඩිස් මේ මේ මක් හරි වයර් එකේමක් හරි කේස් එක් තියෙනවාද කියලා එහෙම කයාගන්න දැන කනෙක්ෂන් එක සර් ඩිස්කනේට්ට් තව පේමන්ට් න්න ඕන මේක ඇක්ටිව් වෙන්නේ කියන්ේ ගෙවන්න ඕන ගෙවලා ලයින් එක ඇක්ටිව් වුනාම වැඩ නොකරනවා නම් කම්ප්ලේන් එක් ාන්න වෙන්නේ මොකද අපිට ඩිස්කනේට් ලයින් එක් කම්ප්ලේන්ට් කරන්න බැහැ සර් ඒකන ආනැ නේ ඒක ගැටලුවක්නේ නැහැ හරි ම එතකොට මේ කොහොමද මේ කම්ප්ලේන් එකදාන්නේ බිල ගෙවලා කෝල් එක් දෙන්න සර් මේ තියෙන සම්පූර්ණ බිල් එක ගෙවලා ලයින් එක ඇක්ටිව් වුනමයි කම්ප්ලන් එක දාන්න වෙන්නේ ට කෝල් එක් දෙන්න එතකොට ආයෙත් මේ මෙන්න ටම තමයි ලයින් එකයන්නේ නේ ඔව් මෙතනෙටම තමයි කෝල් කරන්න වෙන්නේ සර් බිල් එක නම් දැන් ගෙව්වා පේමන්ට් එක කරලා අද කෝල් එකේදී ඔව් ඔව් ඔව් ආ බලන්නම් අප්ඩේට් වෙනවද කියලා ඇමතුමේ රැී ල ඉන්න හරි ක් ගෙව්වා බලන්නම් ඇමතුමේ රැඳලඉන්න සර හරි ය න ගැඩ මේ කෝටල් දාන කියන්න අන්තිමනට ඒක බලා බලන්ස් වෙන්නේ අන්තිමට ජී ආර් කරන්නම් යි වන් වෙන්න මේකේ නම්ඩ් පේමන්ට් එක ක ානක තියෙනවා ගෙල දාන්න අරුට නේ පංක් හ දාන්නේ වෙනි රැඳී සිටියාට ස්තූතියි සර් හෙලෝ තාම ප්ලේමන්ට් එක නම් අප්ඩේට් වෙන කේ නැහැ සර් නමුත් ම නම්බර් එක තියලා මේක නට් කරන්නම් චෙක් කරලා බලා ලයින් එක රකනෙක්ට් කන්න යමක හ ඇමුමේ රැඳී ලින්න මේක අපිට රීකනෙක්ට් කරනවන් සට නවද ක රැීල ඉන්න හරි ැඳී සිටියාට ස්තියි ඔව් මේක පේමන්ට් එක අප්ඩට් වුනා ිට ලින් එක දෙන්න පුළුවන් එහෙම බලා ලයින් එක රීකනෙට් කරලා හෙඋනොත් කම්ප්ලේන් එක් දාන්න වෙනවා මේ ලයින් එක මේ වැඩ කරන්න කේබල් කැඩල් ප්රශ්න් ප්ේන තියෙනවද ර් එහෙමා කියලා තමයි ගෙදරින් කිව්වේ ම ඇත්තට ම ගෙදර නමගෙදරට කතා කරන අම ගෙවල යින් ඒක පොඩි ප්රශ්නක් තියෙනවා කියලා හරි මට කන්ටැක්ට් නම්බර් එක් දෙන්න සර් මොබයිල් නම්බර් එක් මේ කතා කරාකමක් නැද්ද මේක එතන ක කන න් එක සම්බන්ධ කරගන්න පුළුවන්නම් හොඳයි ඔව් එහෙම දෙන්න හරි ය හරි ඔ් යි ඔව් යි ඔව් යි එකයි හරි පේමන්ට් එක අප්ඩේට් වුනා සර් ම මේක ලයින් එක රීකනෙක් කරලා කම්ප්ලේන් එක යොමු කරන්නම් ආ හරි හරි වෙනත් යෙමක් දැනගන්න අවශ්යිද නෑහ හරි ශ්රී ලංකා ටෙලිකොහොම බිටෙල් ඇමතුවට ස්තූතියි සර් සුභ දවසක් ම ලම ුන සේවාය ඇගයීමට රැඳී සිටින්න,Bill Inquiries
ආයුබෝවන් ම අනුරාධ මට පුළුවනි ඔබට සහාය වන්න ආයුබෝවන් මේ ම දැන් ඒ දාපු ලයින් එකටේ කීයක් ගෙවන්න තියෙනවා ිලා චෙක් කරගන්න පුළුවන්ද හරයිට බලමු නම කියන්න අයිතිකරුගේ මහින්දරාලය මගේ කිරිය මහින්දරාල කරුණාකර ඇමතුමේ රැඳී ඉන්න මේක යි සතු ක බිල් එක් තමයි තියෙන්නේ ඒක ගෙව්වම කනෙක්ට් මේ කෝල්ස් ගන්න පුළුවන් නේ දැන් කල්ස් ගන්න බැහැ ඩිස්කනෙක්ට් වරා තියෙනා ම හිතන්නේ ඒක ගෙවන ක ගෙව්ව පස්සේ සර් වනාඩි කින් වගේ පරික්ෂා කරලා බලන්න සර් හරි මේ බිල මාසෙ ගෙන්නගන්න පුළුවන්ද මගේ ලයින් එකට බිල එන්නේ නෑැ ඒකයි ේ දැනටඑස්එම්එස් එක් විදිහාට එන්නේ නැද්ද මොබයිල් එකට නෑ තාත්තගේ එක තමයි තිබ්බේමේ දැන් වැඩ කරන්නේ නැහි ලයින් එක මේ මට වෙනස් කරගන්න පුළුවන්ද වෙනස් කරන්න පුළුවන් එහෙම නොසර් ලෑන්ඩ්ෆෝන් එකෙන් අපිට කෝල් එකත් දීලා රික්වෙස්ට් එක් දෙන්න අපි මෙතනින් වෙනස් කරලා දෙන්නම් සර් ආ හරි දැනට අර ගෙවනවා හරි හආ නේ හරි හව් දැනට ගිව්වනම් හරි ස් හරි හරි සර් හරි සර ලඟා ටෙලිකොම් මොබිටෙල් ඇමතුවට ස්තූතියි ුබ වසර්,Bill Inquiries
ආයුබෝවන් ම දිලින්නි මට පුළුවනික් සහාය වන්න හෙලෝ මේ මට පුළුවන්ද දැන් හරියටම බිල් එක ගාන කියද කියලා දැනගන්න මොකද මාසයක් මේ මගේ ඇරිලාද කියලා බලාගන්න මේ කතා කරන දුරගථන අංකයේද ඔව් නම තියෙන්නේ කොහොමද හිමිකරුගේ ජේ එම් එල් එල් ජයසිංහ දැන් තියෙන්නේ දෙවෙනි මාසේ ස ඉඳලා තුන්වෙනි මාසේ දක්වා බිල් එක ඒක ඊයේ ගෙවන්න තිබුණේ රුපියල් යි යක් තියෙනවා එච්චරයිද තියෙන්නේ ඊට වැඩියා නෑැ නේ එච්චරයි තියෙන්නේ න නෑහැ ඕ රේස් මොකුත් නැ හරි හරි හර ටීමඇතුමට සතයස,Bill Inquiries
ආයුබෝවන් ම නිශා මට පුළුවනි ඔබට සහය වන්න ඔව් මේ ම ඇවිල්ලා ගිය මාසේ මගේ ඉන්ටර්නෙට් පැකේජ් එක අප්ග්රේඩ් කරලා තියෙන්නේ ්හර් ඉතින් මේ මගේ බිල් එක දැන් බලනකොට දඉස්සර මගෙවපුවට වඩා දැන් ගුණක් වෙලා තියෙන්නේ මට දැන් රුගේ නම කියන්න අබ්ඩුල් කරිම් අබ්දුල් මජේඩ මේකේ ෆයිබර් අන්ලිමිටඩ් පැකේජ් එක් අරගෙන තියෙනවා ගිය මාසේ නේද මේක ඇඩ්වාන්ස් බිලින් නේ යන්නේ එතකොට බිල් එක වෙනස් වෙලා තියෙන්නේ මේ මාසේ ඇඩ්වාන්ස් බිලින් වලද ඉන් ඇඩ්වාන්ස් බිල් එක පේ කරලා තමයි යූස් කරන්නේ එතකොට කරන්ට් වාන්ත් එකේ බිල් එක ක් ඇඩ් වෙලා තියෙනවා ඊළඟ මාසෙට අදාළ රෙන්ටල් එක ක් මේ මාසේම ඇඩ් වෙලා තියෙනවා ඒක තමයි බිල වැඩි පරණ පැකේජ් එකයි අලුත් එක දෙකම ඇඩ්ව දෙකම ෆර්ස්ට් මන්ත් එකේදී ඇඩ් වෙනවා මොකද ඇඩ්වාන්ස් බිල් එකේදී අලුත් පැකේජ් එකේ රෙන්ටල් එක ගෙවලා තමයි යූස් කරන්න ඕනේ තකොට ඒ මාසේ අර අපි පරණ පැකේජ් එක පාවිච්චි කරේ නෑනේ ගිය මාසේ ඒත් ඒක ඇඩ් වෙනවද ඒකට රුපියල් ඒකට ඇඩ් වෙලා තියෙන්නේ රුපියල් යි දවස් ගානට ඊටසර අලුත වෙන් ගත්ත පැකේජ් එකට එතනින් ඉස්සරහට ගත්ත දවස ඉඳලා වෙනකම් යි ඊට පස්සේ ඉන් ඇඩ්වාන්ස් වලින්ස් මැඩම්ට චාරජ් වෙලා තියෙනවා ඒ ප්රිල් බිල් එකත් ඒ මාසෙටම යි ඒප්රිල් වලට චාරජ් වෙන්නේ මේ මාසෙට අදාළව ඒ විදිහ තමයි යනට ඒක අඩු වෙනවද පස්සේ අනිත් මාසේ ඉඳලා ඔව් ඊළඟ මාසේ ඉඳලා ඒත් ඉන් ඇඩ්වාන්ස් ම තමයි යන්නේ ප්රිල් වලා චාර්ජ් වෙන්නේ මේ වලට එතකොට දැන් අප්රේල් බිල ගෙවලනේ තියෙන්නේ ඔව් දැන් අප්රේල් බිල තව ගෙවලා නෑනේ ඔව් මේ බිලට ඇඩ් වෙලානේ තියෙන්නේ ඔව් ඔව් ව් ආට් ඔව් අප්රේල් බිල හැදෙන්නේ මැයි වලට මේ නිව් පැකේජ් එක යන්නේ ඇඩ්වාන්ස් ඉන් ඇඩ්වාන්ස් යන්නේ ඔව් පරණ එක එහෙම නෙවෙයි පරණ එක එහෙම නෙවෙයි ආ රයිට් ඔව් වල් මොබිටේල් ඇමතුවට ස්තූතියි,Bill Inquiries
හයුබෝයි මාන්ඩ් ෆෝස් සහා ඔව් ආයුබෝව මට දැනගන්න ඕනේ මේ මගේ ෆෝජී මේ රවුටර් එක ඒක ඩිස්කනෙක්ටඩ් කියලා මනම දැන් විනාජි ට කලින් කතා කරාම කිව්වා මට ක් ද ට ගෙවන්නේ කියලා ම දුරගතනේ අක කියන්නද ඔව් කියන මැඩම් බනදවයි යි එයි හරි යි හරි යි ලා මක් ිසේ ජී ම ් මැඩම් හරි කුණ කොමදමන්න මතුම ැඳ මැඩම් කවද්ද ැඩම් පේමන්ට් කරේ ගෙව්වේ ම නම වෙනිදා එකත් කරා යි ක් ගෙව්වා ආයේ දැන් කෙව්වා ක් හි මෙතනින් මැඩම් ට ඊය පමන්ට් එක වලා දම් අද පේම්ට් එක තාම ඇබිලා නැහැ මැඩම් සමානයන කීට විතරා ම්ටම් ේමන්ට් එක කළේ මැඩම් අද පේමන්ට් එක දැන් දැන් විනාජි එකටත් මගේ ඔොයි ඔන්ලින්ද ඩම් පේමන්ට් කරේනේ නැත් නම් වෙනත් ම්ඔව්න්ද කො ඔන්ලයින් කරේ ඔන්ලයින් කරේ ඔ මොකද ැඩම් බැංක් එක මේ ලංකා බැංකුව ක් ීෝ ී හසනක ව් මටත් හැබැයි මැසේජ් එක ආවේ නෑ ෙරන්ස් නම්බයි මොකුත් නැ්දැ් මැඩම් රපේමන්ට් කර ප ැඩම් සොරි රෙෆරන්ස් නම්බයි මකු් තවා නැද මැඩම් පේමන්ට් කර දළව ආ මට මැසේජ් එක් වෙනවා මෙවයි ැ බැයි ම ඊට පස්සේ මගේ මේ ජංගම දුරගත්ත නේ මේ බිල ගෙව්වා ම නම් මට ආවා ක් ම ගෙව්වා ඒක මට ආව ් මේක මට මේ මේ ප බෑ බැංක් එකෙන් අඩු වෙලා තියෙනවා යට ඒක අ රිෆර්ට් නම්බර්ේ ඕනද ඔව් රෙෆරන්ස් කම තියෙනවා නම පෝඩක් කියන්න මැඩම් දුවරන්න ඔව් හර ආවපේච් එකේ මේක් පෙන් වාන මට බකි වෙන්නම ඔව් දැන ගෙක් කලන් නැහැ මැඩම් අප දැන අපි බිල් කම් ්ෙන්ව ද මැඩම චෙක් කරලා බලාන්එක කියලා බැං්ක් එ එක බලා අබ්ඩට් කරලා ද මඩම් ඇමතුම තෙන්නම මෙතන දැනට බැන් ක ඩිස්කන්සලා තයෙන මෙතනේ ඇක්ටිව කරන වෙනවා ඇමතුමේ රැඳී ම මැඩම් මතුම රැී සිටින රි හරි එතකොට ඔව් ඇමතුමේ න ැඩම් ඇමතුමේ රැඳී ඉන්න ආ හරි රමි සියියා ස්තූතියි මැඩම් හරිම දැනට ම න්ි ළන්ක මෙතනේ ඇක්ිව් වලා තියෙනේ මැඩම් ඔක්කොම ඔෆ් කරලා විනාඩිෙන් පස්සේ ඔන්කරලා බලන්න රයින ඇක්ටිව් මැඩම් ක් විෙලා තරි හරි ඔව් හරි ආ දැන් ආව මැසේජ් එකට හරිසඑ් එක එකය කියලා ඔව් ඔව් පේමන් ආ හරි මඩම් හරි තැන්ක් යු හරි මැඩම්සුබ් හරි හරි ම සදක් ඇමතුම ඉන්න,Bill Inquiries
ආයුබෝවන් ම රාජු මට පුළුවනි ඔබට සහය වන්න මේ මග මේ බිල් එක ඇවිල්ලා තියෙනවා මේ මාසේ අර මේ මාස දෙක් එකට දාලා හරි මේ ඒක දැන් ඊළඟ මාසේ ගෙවන්නත් ආයේ එනවද එහෙම අර මේ පියෝට මොක්ද මේ ප්රෝඩ් බෑන්ඩ් එක අප්ග්රේඩ් එකට බ්රෝඩ් බෑන්ඩ් අප්ග්රේට් එකට තන් තියෙන්නේ ෆයිල් ස්ටාටර් පැකේජ් නේ සර් දැන් ඕලට රැඩි සර්ට චාර්ජ් වෙලා කියනවා මාර්තු මාස කට චාර්ජ් වෙලා තියෙනවා ඔව් ද සර්ට ඒප්රේල් මාසේ බිල් එක් එනවා ඒක මැයි මන්ත් එකට අදාළ මේ රෙන්ටල් මාසෙන් මාසේ ඉස්සරහට ගෙවන්න ඕුනදට ඔව් එස්සර්හට දැන් හරි දැන් අර මේ ඉස්රහට ගන්නකොට ඩ මේ පාවිච්චි කරපු මාස ඇඩ්වාන්ස් බිල් ක ඩෙක් නේ ඇඩ් වෙලා තියෙන්නේ සර් ඇවිලා තියෙන්නේ ඔව් එතකොට ආයෙ ටී පස්සේ මාසේ මාේදම යන්නේ ඒ කියන්නේ දන් ඊළඟ මාසෙත් ආ එනව මැයිවල එක එනවාද මේයි මාසේ විතරක් එන්නේ සර්ට යි ප්ලස් පියෝ ටීවී රෙන්ටල් ප්ලස් ටැක්ස් එක ඇඩ් වෙනවා එච්චරයි ඒතකොට දැන් මේක ගෙවන්න ඕකට්ටි ඒට පස්සේ මේ ඩවුන් කරොත්ත එහෙවාද නෑ කැන්සල් කන්ඕන ඒ කියන්නේ සර් දැන් අපි දැන් පියෝ ටී මේ බ්රෝඩ් බෑන්ඩ් අයින් කරොත්ද එතකොට මේ ගෙවන කැන්ස් මේ ආයෙ පහ ඩිපොසිට් එක ගන්නේ කට ඩිපොසට් කියන්නේ ඔව් ඩිපොසිට් කියන අපි මුලින්ම ඇඩ්වාන්ස් ගන්නවනේ එතකට අපි ඩිස්කනෙක්ෂන් එකට යනකොට මාසක් තියලා දීලා තමයි සර්ට ඩිස්කනෙක්ෂන් පොස්සටිල තියෙන්නේ ඔව් වඔව්හරිද සර් ව ළඟා ටෙලිකොම් මොබිටල් ඇම,Bill Inquiries
ආයුබෝවන් ම සෙනාලි මට පුළුවනි ඔබට සහය වන්න ආයුබෝවන් ම මේ එක්ටර් කරලා තියෙන්නේ නම්බර් එක ඩිස් කනෙක්ට් වෙලා තියෙනවා මටපේමන්ට් එක කීයක් කරන්න ඕද කියලා පොඩ්ඩක් බල ලා ගන්න පුළුවන් ගේද ආක රීකනෙක්ෂන්ට් කරගන්න හරි සර් මට කනෙක්ෂන් එක අයිතිකරුගේ නම කියන්න රේඩකාද සිල්වා සර් ට ක් ගෙවීම් කරන්න තියෙනවා සර් ක් නේද ඔව් ඒ සම්පූර් ටෝටල් එකම ගෙවන්න ඕනද කරුණාකර ඇමතුමේ රැඳී ඉන්න සර් ම පරික්ෂා කරලා කියන්නම් රි රැඳී සිටියාට ස්තූතියි සර් අවම ගාස්තුව ගෙවනවා නම් සර් ගෙවීම් කරන්න ඕනේ රුපියල් ක් ඒ කියන්නේක් වගේ ගෙව්වොත් කනෙක්ෂන් එක ඇක්ටිව් වෙන්නේ සර් නැත්නැම් ටෝටර වින් ී ගාණක් නේදඔව් හරි හරි ඕකේ යි යි අ එහෙම ුනොත් පේමන්ට් එක කරලා ආයෙත් කෝල් බැක් එක් කරන්න ඕනේ නැත්නම් ඔටෝ රීකනෙක්ට් වෙනවද ඔටෝ රීකනෙක්ට් වෙනවා සර් ක් වගේ ගෙව්වොත් ඔටෝ රීකනෙක්ට් වෙනවා සර් හරතැන් යවුහරි මර ෙවනක් යමි දැනගැනීමට අවශ්යද නෑහ එචරයි තැන්ක් යූ ම ලබා දුන් සේවාව ඇගයීම සඳහා රැඳී සිටින්න එස්එල්ටී මොබිටෙල් ඇමතුවට ස්තූතියි සුබ දවසක්,Bill Inquiries
ආයුබෝන් ම ලක්ෂ මට පුළුවන ඔබට සහය වන්න හලෝ සර් මේ ම කතා කන්නේ දන්කවෙන් ෆෝන්බිල ඩිස්කෙනමෙක් කරලා තිබිලා ම දැන් කිලා කිව්වා ඔව් තාම ලයින් එක ඇක්ටිව් වෙලා නෑ තියන ඔව් ටෙලිෆෝන් නම්බර් එක කියන්න පුළුවන්ද සර් යි හරි යි රි ි යිතිකරුගේ නමත් කියන්න ර් ස්කේ කරුණාරත්න හරි කීඇද සර් පේමන්ට් එක කරේ දැන් වෙලාද ක් එක නෑ කී ඇද්ද සර් ගෙවීම කර මන්ටර් එක ක් හරි සර් චෙක් කරලා බලන්නම් සර් තනෙක්ෂන් එකේ කරුණාකර ඇමතුවේ රැී සිටින්න ඇයි නැත යා චෙක් කරලා බලන්නම් එකුන්ර් එක ිඒ කරුණාකර ඇමතුවීම එක රැඳී සිටින්න සර් හරිහරි යාට ස්තූතියියි සර් ස්ටම් එකින් ලයින් එක ඔටෝ ඇක්ටිව් වෙනාට ප්රශ්න් එක් තියෙන්නේ ම දැන් මෙන් එක්ටිවෙෂන් එකට දැම්මා නා කින් වගේන සර් රවුටර් එකයි පී යෝ ටී වෙනෙත් එකයි සම්පූර්ණය එහෙම ඕෆ් කරලා ඕන් කරන්න කනෙක්ෂන් එක සර්ට පාවිච්චික කරන්න පුළුවන් රි හරිසර් ිකා ටෙලිකොම් ඔොබිටෙල් ඇමතුවාට ස්තූතියි සවයි සර් ලබා දවන් සේවාවේ ඇගයමට රැඳී,Bill Inquiries
